total_signatures,discovery_date,research_classification,temperature_range,frequency_range,record_id,frequency,pattern,formation_mechanism,temperature_optimal,crystallization,cymatic_nodes,golden_ratio_factor,symmetry,bond_angle,frequencies,primary_beat,secondary_beats,complexity,ratio_relationships,component,anchor,formation_temperature,stability_range,chain_length,bond_strength,stability_function,calculation,mechanism,temperature_dependence,transitions,function,pattern_type,wave_equation,wavelength,nodes,membrane_thickness,stability_nodes,angle,cell_count,formation,spacing,assembly_sites,range,propagation_speed,cell_geometry,efficiency,antinodes,fundamental,harmonics,elements,progression,ratios,formation_epoch,frequency_ratio,golden_factor,relationship,significance
47.0,2025-08-31,PRM00-COMPLETE,200-373K,0.18-22.87Hz,primordial_chemistry_frequencies_metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-186,1.86,H-O beat frequency,Hydrogen(0.18Hz) + Oxygen(2.04Hz) interference,325.0,hexagonal_close_packed,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-051,0.51,Helium stabilization,Noble gas structural template,300.0,stabilized_liquid,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-372,3.72,First harmonic of H-O beat,2 × 1.86Hz harmonic resonance,350.0,extended_hexagonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-558,5.58,Second harmonic of H-O beat,3 × 1.86Hz harmonic resonance,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-HEX-060,1.86,Hexagonal ice template,60-degree phase relationships,,,,,6-fold,109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-HEX-120,3.72,Double hexagonal,120-degree extended symmetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-TRI-077,0.77,Lithium triangular template,Li(0.77Hz) ionic organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-TET-109,1.09,Beryllium tetrahedral,Be(1.09Hz) 4-coordinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-PEN-128,1.28,Boron pentagonal,B(1.28Hz) electron deficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-SOL-SERIES,,Sol anchor harmonic progression,Primary structural elements,,,,,,,"[0.18, 1.53, 1.79, 2.04, 3.58, 3.83, 4.09]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-BEAT-COMPLEX,,Multi-frequency interference,,,,,,,,,1.86,"[0.33, 0.51, 0.26]",advanced_cymatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_structured_water_patterns_WAT-STR-GOLDEN-RATIO,1.86,,,,,,,,,,,,,"[{'elements': 'H-O', 'ratio': 11.33, 'golden_factor': 7.0}, {'elements': 'Li-O', 'ratio': 2.65, 'golden_factor': 1.64}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-PHO-204,2.04,,,,,,,,,,,,,,Phospholipid head group,Sol-Oxygen,310.0,280-340K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-CAR-153,1.53,,,,,,,,,,,,,,Fatty acid carbon chain,Sol-Carbon,295.0,,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-HYD-018,0.18,,,,,,,,,,,,,,Hydrogen bonding,Sol-Hydrogen,273.0,,,optimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-BEA-051,0.51,,He(0.51Hz) noble gas stabilization,,,,,,,,,,,,Membrane stability beat,,,,,,membrane_integrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-BIL-375,3.75,,Phosphate + Carbon + Hydrogen sum,,,,,,,,,,,,Bilayer fundamental,,,,,,,2.04 + 1.53 + 0.18 = 3.75Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-HAR-750,7.5,,,,,,,,,,,,,,First harmonic bilayer,,,,,,,2 × 3.75Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-HAR-1500,15.0,,,,,,,,,,,,,,Second harmonic bilayer,,,,,,,4 × 3.75Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-HAR-3000,30.0,,,,,,,,,,,,,,Third harmonic bilayer,,,,,,,8 × 3.75Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-CUR-VAT,1.86,,H-O beat creates curvature stress,,,,,,,,,,,,Membrane curvature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-POR-FOR,2.37,,,,,,,,,,,,,,Pore formation,Sirius-Fluorine,,,,,,,electronegativity_disruption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-FUS-ION,2.81,,,,,,,,,,,,,,Membrane fusion,Polaris-Sodium,,,,,,,ionic_mediated_fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-ASY-MET,,,,,,,,,,"[2.04, 1.53]",,,,,Asymmetric membrane,,,,,,,,Different inner/outer leaflet composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-LAT-DIF,0.33,,,,,,,,,,,,,,Lateral diffusion,,,,,,,|2.04 - 1.71| average motion,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-PHA-TRA,4.09,,,,,,,,,,,,,,Phase transitions,Sol-Sulfur,,,,,,,,,"['gel', 'liquid_crystalline', 'liquid']",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-CHO-INT,3.07,,,,,,,,,,,,,,Cholesterol interaction,Betelgeuse-Magnesium,,,,,,,,,,membrane_fluidity,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_lipid_barrier_formations_MEM-LIP-RAF,,,,,,,,,,"[2.04, 3.07, 4.09]",,,,,Lipid rafts,,,,,,,,Phosphate-Mg-Sulfur clustering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_cymatic_wave_patterns_CY-STW-186,1.86,,,,,,,hexagonal,,,,,,,,,,,,,,,,,,,structured_water_cymatics,"Ψ(x,t) = A sin(kx)cos(ωt)",0.537,6,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_cymatic_wave_patterns_CY-LIP-375,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,lipid_barrier_cymatics,Standing wave bilayer formation,,,4.5e-09,4.0,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_cymatic_wave_patterns_CY-HEX-060,1.86,,,,,,,,,,,,,,,,,,,,,,minimum_energy_surfaces,,,,hexagonal_cell_formation,,,,,,60.0,6.0,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_cymatic_wave_patterns_CY-MEM-NOD,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,membrane_nodes,,,,,,,,constructive_interference,0.267,molecular_organization,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_cymatic_wave_patterns_CY-TID-018,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,tidal_organization,,1905.6,,,,,,,,,long_range_coupling,343.0,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_cymatic_wave_patterns_CY-BEE-186,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,beehive_hexagonal,,,,,,,,,,,,,hexagonal_close_packed,maximum_volume_minimum_surface,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_cymatic_wave_patterns_CY-INT-PAT,,,,,,,,,,"[0.18, 1.86, 3.72]",,,,,,,,,,,,,constructive_destructive_interference,,,,interference_patterns,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_cymatic_wave_patterns_CY-STA-WAV,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,standing_waves,,,x = nλ/2,,,,,,,,,,,,x = (2n+1)λ/4,,,,,,,,,,
,,,,,primordial_chemistry_frequencies_cymatic_wave_patterns_CY-HAR-SER,,,,,,,,,,,,,,,,,,,,,,,,,,,harmonic_series_propagation,,,,,,,,,,,,,,,,1.86,"[3.72, 5.58, 7.44, 9.3]",,,,,,,,
,,,,,primordial_chemistry_frequencies_harmonic_progressions_HAR-PRI-FIRST,,,,,,,,,,"[0.18, 0.51, 0.77]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['H', 'He', 'Li']",ascending,"[2.83, 1.51]",,,,,
,,,,,primordial_chemistry_frequencies_harmonic_progressions_HAR-PRI-CARBON,,,,,,,,,,"[1.09, 1.28, 1.53]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Be', 'B', 'C']",steady_climb,"[1.17, 1.2]",,,,,
,,,,,primordial_chemistry_frequencies_harmonic_progressions_HAR-PRI-OXYGEN,,,,,,,,,,"[1.79, 2.04, 2.37]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['N', 'O', 'F']",oxygen_peak,"[1.14, 1.16]",,,,,
,,,,,primordial_chemistry_frequencies_harmonic_progressions_HAR-PRI-ALKALINE,,,,,,,,,,"[2.55, 2.81, 3.07]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Ne', 'Na', 'Mg']",alkaline_metals,"[1.1, 1.09]",,,,,
,,,,,primordial_chemistry_frequencies_harmonic_progressions_HAR-PRI-SEMICONDUCTOR,,,,,,,,,,"[3.32, 3.58, 3.83, 4.09]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Al', 'Si', 'P', 'S']",semiconductor_elements,"[1.08, 1.07, 1.07]",,,,,
,,,,,primordial_chemistry_frequencies_harmonic_progressions_HAR-PRI-IONIC,,,,,,,,,,"[4.41, 4.81, 4.92, 5.11]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Cl', 'Ar', 'K', 'Ca']",ionic_completion,"[1.09, 1.02, 1.04]",,,,,
,,,"[1000000, 10000000]","[22.0, 50.0]",primordial_chemistry_frequencies_temperature_frequency_cascades_TFC-PRI-ULTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transition_metals,,,nucleosynthesis,,,,
,,,"[10000, 1000000]","[5.0, 22.0]",primordial_chemistry_frequencies_temperature_frequency_cascades_TFC-PRI-HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy_elements,,,stellar_burning,,,,
,,,"[1000, 10000]","[1.0, 5.0]",primordial_chemistry_frequencies_temperature_frequency_cascades_TFC-PRI-MODERATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,light_elements,,,cooling_phase,,,,
,,,"[200, 1000]","[0.18, 2.04]",primordial_chemistry_frequencies_temperature_frequency_cascades_TFC-PRI-COOLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H_O_system,,,molecular_assembly,,,,
,,,,,primordial_chemistry_frequencies_golden_ratio_relationships_GR-HO-BEAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33,7.0,H-O resonance = 7φ,structured_water_template
,,,,,primordial_chemistry_frequencies_golden_ratio_relationships_GR-LI-O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,1.64,Li-O ≈ φ,ionic_water_structure
,,,,,primordial_chemistry_frequencies_golden_ratio_relationships_GR-C-SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,1.44,C-Si ≈ 1.44φ,covalent_framework
